,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,top_count,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
000002.XSHE_2017-06-26,0.982428738774,2017-06-26 00:00:00,2017-06-23 00:00:00,000002.XSHE,21.16,21.57,22.38,20.41,20.41,74014130.0,8.0,23.28,23.28,23.28,21.09,21.13,129350106.0,9.0,25.61,25.61,25.61,23.75,24.12,176905403.0,10.0,24.7,25.18,28.18,24.35,25.16,123890871.0,11.0,2.0,1.0,23.8,125870504.0,13:34:00,0.0,0,1,0.100189035917,33637384.8941,22.05,125085965.0,17.72,False,False
000018.XSHE_2017-08-15,0.990815154994,2017-08-15 00:00:00,2017-08-14 00:00:00,000018.XSHE,7.2,7.23,7.9,7.05,7.1,13638604.0,45.0,7.92,7.92,7.92,7.58,7.62,30895000.0,46.0,8.71,8.71,8.71,8.5,8.71,130960334.0,47.0,8.45,8.74,9.58,8.27,8.63,119854323.0,48.0,2.0,1.0,8.6,23725500.0,09:30:00,0.0,0,7,0.1,19255434.9524,10.77,57943897.0,6.76,False,False
000025.XSHE_2017-06-14,0.998615232443,2017-06-14 00:00:00,2017-06-13 00:00:00,000025.XSHE,45.33,45.33,45.33,42.2,42.5,13227174.0,1.0,45.95,48.2,49.86,43.52,46.0,19817846.0,2.0,50.55,50.55,50.55,44.35,45.92,15283071.0,3.0,47.5,51.9,55.61,47.1,50.48,18598781.0,4.0,1.0,3.0,44.37,13386700.0,10:17:00,,0,1,0.100146842878,2213198.28049,55.45,11116893.0,31.35,False,False
000036.XSHE_2017-07-24,0.946054750403,2017-07-24 00:00:00,2017-07-21 00:00:00,000036.XSHE,10.26,10.57,10.62,9.58,9.61,79294060.0,29.0,11.29,11.29,11.29,10.3,10.35,122584597.0,30.0,11.55,12.42,12.42,11.35,11.73,175880155.0,31.0,12.04,12.07,12.71,11.4,11.75,119494317.0,32.0,2.0,1.0,11.75,73441500.0,10:03:00,0.0,0,1,0.100389863548,18119527.5412,9.74,63483664.0,7.66,False,False
000410.XSHE_2017-07-07,0.998757763975,2017-07-07 00:00:00,2017-07-06 00:00:00,000410.XSHE,7.53,7.53,7.53,7.45,7.45,3605923.0,18.0,7.67,7.87,7.91,7.63,7.87,20083058.0,19.0,8.05,8.05,8.05,7.58,7.66,24342424.0,20.0,8.45,8.45,8.45,7.99,8.04,19907876.0,21.0,1.0,2.0,7.58,12192400.0,10:34:00,1.0,0,2,0.0502092050209,10328732.4938,12.35,42964669.0,6.08,True,False
000410.XSHE_2017-07-10,1.02485207101,2017-07-10 00:00:00,2017-07-07 00:00:00,000410.XSHE,7.67,7.87,7.91,7.63,7.87,20083058.0,19.0,8.05,8.05,8.05,7.58,7.66,24342424.0,20.0,8.45,8.45,8.45,7.99,8.04,19907876.0,21.0,8.4,8.87,8.87,8.33,8.66,30169527.0,22.0,2.0,1.0,8.0,5650600.0,09:39:00,1.0,0,6,0.0502092050209,10371391.025,12.35,42964669.0,6.08,True,False
000410.XSHE_2017-07-11,0.941375422773,2017-07-11 00:00:00,2017-07-10 00:00:00,000410.XSHE,8.05,8.05,8.05,7.58,7.66,24342424.0,20.0,8.45,8.45,8.45,7.99,8.04,19907876.0,21.0,8.4,8.87,8.87,8.33,8.66,30169527.0,22.0,8.3,8.54,8.82,8.06,8.35,17172492.0,23.0,3.0,2.0,8.49,7076100.0,09:45:00,1.0,0,0,0.0502092050209,10366157.7468,12.35,42964669.0,6.08,True,False
000547.XSHE_2017-08-07,0.973154362416,2017-08-07 00:00:00,2017-08-04 00:00:00,000547.XSHE,9.85,9.95,10.75,9.74,9.79,9211289.0,39.0,10.84,10.84,10.84,9.88,9.89,33662002.0,40.0,11.92,11.92,11.92,11.43,11.6,134488755.0,41.0,12.08,12.4,13.11,11.51,11.6,120018479.0,42.0,2.0,1.0,11.5,19656300.0,09:31:00,0.0,0,1,0.100507614213,15081112.4824,16.06,44342847.0,9.23,False,False
000560.XSHE_2017-08-30,1.01361702128,2017-08-30 00:00:00,2017-08-29 00:00:00,000560.XSHE,9.71,9.86,10.62,9.6,9.73,8804673.0,56.0,10.68,10.68,10.68,9.63,9.71,23649500.0,57.0,11.67,11.75,11.75,11.18,11.74,72001563.0,58.0,12.24,12.84,12.84,11.68,11.91,116029709.0,59.0,2.0,1.0,11.75,7063600.0,09:30:00,1.0,0,1,0.0998970133883,8046980.9759,11.58,41740204.0,7.99,False,False
000560.XSHE_2017-08-31,0.908099688474,2017-08-31 00:00:00,2017-08-30 00:00:00,000560.XSHE,10.68,10.68,10.68,9.63,9.71,23649500.0,57.0,11.67,11.75,11.75,11.18,11.74,72001563.0,58.0,12.24,12.84,12.84,11.68,11.91,116029709.0,59.0,11.9,12.07,13.46,11.6,11.66,74315699.0,60.0,1.0,2.0,11.7,48983900.0,09:52:00,2.0,0,2,0.0998970133883,7981170.04878,11.58,41740204.0,7.99,False,False
000595.XSHE_2017-06-14,1.0,2017-06-14 00:00:00,2017-06-13 00:00:00,000595.XSHE,3.84,3.99,4.24,3.84,3.99,16016444.0,1.0,4.03,4.03,4.03,3.83,3.83,16314048.0,2.0,4.23,4.23,4.23,4.08,4.09,35374067.0,3.0,4.43,4.44,4.44,4.18,4.23,33351381.0,4.0,2.0,1.0,4.08,6381600.0,09:39:00,0.0,0,6,0.0496277915633,35484075.9747,11.5,153702960.0,3.72,True,False
000595.XSHE_2017-06-15,0.984234234234,2017-06-15 00:00:00,2017-06-14 00:00:00,000595.XSHE,4.03,4.03,4.03,3.83,3.83,16314048.0,2.0,4.23,4.23,4.23,4.08,4.09,35374067.0,3.0,4.43,4.44,4.44,4.18,4.23,33351381.0,4.0,4.48,4.64,4.65,4.34,4.37,28577604.0,5.0,3.0,2.0,4.18,26999600.0,14:09:00,0.0,0,0,0.0496277915633,34506260.5,11.5,153702960.0,3.72,True,False
000595.XSHE_2017-06-27,0.979166666667,2017-06-27 00:00:00,2017-06-26 00:00:00,000595.XSHE,4.35,4.35,4.56,4.22,4.34,9639450.0,10.0,4.57,4.57,4.57,4.35,4.36,19611424.0,11.0,4.73,4.8,4.8,4.6,4.63,29311520.0,12.0,4.71,4.75,4.97,4.58,4.7,15199085.0,13.0,2.0,1.0,4.6,13986400.0,10:28:00,2.0,1,0,0.0505747126437,29822416.6974,10.62,153702960.0,3.72,True,False
000595.XSHE_2017-07-11,0.93992248062,2017-07-11 00:00:00,2017-07-10 00:00:00,000595.XSHE,4.68,4.74,5.0,4.67,4.74,11141600.0,20.0,4.91,4.91,4.91,4.77,4.81,13025618.0,21.0,4.93,5.16,5.16,4.88,5.16,30838707.0,22.0,4.81,4.92,5.18,4.68,4.85,17613522.0,23.0,2.0,1.0,,,,3.0,1,0,0.0491452991453,26776954.4459,10.62,153702960.0,3.72,True,False
000595.XSHE_2017-08-16,1.0205338809,2017-08-16 00:00:00,2017-08-15 00:00:00,000595.XSHE,4.71,4.71,4.71,4.71,4.71,2463602.0,37.0,4.64,4.91,4.95,4.62,4.91,27210300.0,38.0,4.87,4.87,4.87,4.68,4.68,24029772.0,39.0,5.11,5.11,5.11,4.9,4.97,24315750.0,40.0,1.0,2.0,4.69,10360700.0,10:08:00,5.0,1,1,0.0495689655172,18051291.6486,10.02,74737044.0,3.72,True,False
000595.XSHE_2017-08-17,1.01369863014,2017-08-17 00:00:00,2017-08-16 00:00:00,000595.XSHE,4.64,4.91,4.95,4.62,4.91,27210300.0,38.0,4.87,4.87,4.87,4.68,4.68,24029772.0,39.0,5.11,5.11,5.11,4.9,4.97,24315750.0,40.0,5.28,5.37,5.37,5.13,5.18,45609968.0,41.0,2.0,1.0,4.91,5015700.0,09:33:00,5.0,1,1,0.0495689655172,17939543.2192,9.95,74737044.0,3.72,True,False
000595.XSHE_2017-08-18,0.970204841713,2017-08-18 00:00:00,2017-08-17 00:00:00,000595.XSHE,4.87,4.87,4.87,4.68,4.68,24029772.0,39.0,5.11,5.11,5.11,4.9,4.97,24315750.0,40.0,5.28,5.37,5.37,5.13,5.18,45609968.0,41.0,5.19,5.27,5.54,5.13,5.21,17750394.0,42.0,3.0,2.0,5.16,13420100.0,09:41:00,5.0,1,1,0.0495689655172,17774289.4583,9.8,74737044.0,3.72,True,False
000595.XSHE_2017-08-22,0.990825688073,2017-08-22 00:00:00,2017-08-21 00:00:00,000595.XSHE,5.28,5.37,5.37,5.13,5.18,45609968.0,41.0,5.19,5.27,5.54,5.13,5.21,17750394.0,42.0,5.45,5.45,5.45,5.17,5.17,31849205.0,43.0,5.57,5.71,5.72,5.37,5.4,37907001.0,44.0,1.0,1.0,5.19,5611100.0,09:43:00,7.0,2,5,0.0500963391137,17049946.7465,9.22,74737044.0,3.72,True,False
000600.XSHE_2017-08-09,1.00541376643,2017-08-09 00:00:00,2017-08-08 00:00:00,000600.XSHE,10.68,10.79,11.68,10.55,10.6,15840773.0,41.0,11.75,11.75,11.75,11.75,11.75,44542693.0,42.0,12.93,12.93,12.93,12.22,12.41,103974751.0,43.0,13.17,13.55,14.22,12.78,13.0,168887966.0,44.0,2.0,1.0,12.23,85326900.0,09:59:00,0.0,0,1,0.100425531915,65346242.3467,15.97,206301922.0,8.48,False,False
000615.XSHE_2017-08-02,1.00224719101,2017-08-02 00:00:00,2017-08-01 00:00:00,000615.XSHE,11.04,11.2,12.19,10.93,11.01,15673040.0,36.0,12.14,12.14,12.14,11.05,11.08,33571137.0,37.0,13.35,13.35,13.35,12.38,12.5,104548193.0,38.0,13.52,14.34,14.69,13.03,13.38,110500482.0,39.0,2.0,1.0,12.4,93057700.0,14:09:00,0.0,0,1,0.0996705107084,49354958.7867,26.87,238921949.0,10.72,False,False
000615.XSHE_2017-08-14,0.996865203762,2017-08-14 00:00:00,2017-08-11 00:00:00,000615.XSHE,13.35,13.44,14.42,12.72,13.14,40843648.0,44.0,14.5,14.69,14.69,13.17,13.31,110132988.0,45.0,15.95,15.95,15.95,14.61,14.68,111974176.0,46.0,15.63,15.9,17.55,15.22,15.9,85121314.0,47.0,1.0,1.0,14.65,109539500.0,14:56:00,2.0,1,1,0.1,52249473.3562,26.87,238921949.0,10.72,False,False
000628.XSHE_2017-07-18,1.16744186047,2017-07-18 00:00:00,2017-07-17 00:00:00,000628.XSHE,9.39,9.48,10.4,9.3,9.45,1510400.0,25.0,9.77,10.33,10.33,9.37,9.48,18378160.0,26.0,10.75,10.75,10.75,9.67,9.78,16052840.0,27.0,11.83,11.83,11.83,11.83,11.83,11325921.0,28.0,1.0,1.0,9.69,9038600.0,09:42:00,0.0,0,1,0.100307062436,3712040.89412,14.5,9043185.0,8.65,False,False
000656.XSHE_2017-07-10,0.954411764706,2017-07-10 00:00:00,2017-07-07 00:00:00,000656.XSHE,6.48,6.48,6.48,5.89,5.98,201335880.0,1.0,6.18,6.54,7.13,6.14,6.36,151292460.0,2.0,6.55,6.8,6.8,6.01,6.1,166755060.0,3.0,6.39,6.7,7.21,6.27,6.49,110648931.0,4.0,1.0,2.0,6.02,127864800.0,13:57:00,1.0,0,0,0.100169779287,45312966.4024,6.77,249826844.0,4.44,False,False
000659.XSHE_2017-07-20,1.0,2017-07-20 00:00:00,2017-07-19 00:00:00,000659.XSHE,4.34,4.45,4.63,4.24,4.37,13807791.0,27.0,4.44,4.56,4.56,4.37,4.37,12455280.0,28.0,4.66,4.66,4.66,4.45,4.49,31653018.0,29.0,4.65,4.68,4.89,4.58,4.66,16304328.0,30.0,1.0,1.0,4.45,16668400.0,13:29:00,1.0,0,4,0.0495495495495,29103209.8267,6.97,220298886.0,3.27,True,False
000670.XSHE_2017-09-06,1.00144092219,2017-09-06 00:00:00,2017-09-05 00:00:00,000670.XSHE,5.74,5.84,6.44,5.68,5.8,18784012.0,61.0,6.31,6.31,6.31,5.66,5.75,28067557.0,62.0,6.94,6.94,6.94,6.4,6.49,129290937.0,63.0,6.72,6.95,7.63,6.67,6.95,97210069.0,64.0,2.0,1.0,6.42,102804600.0,13:56:00,2.0,0,4,0.0998415213946,18546549.061,6.45,66013595.0,4.42,False,False
000688.XSHE_2017-08-21,0.959090909091,2017-08-21 00:00:00,2017-08-18 00:00:00,000688.XSHE,9.77,9.77,9.77,9.67,9.77,50242286.0,49.0,10.0,10.29,10.75,9.58,9.7,75161443.0,50.0,10.9,11.0,11.0,9.72,10.0,89840056.0,51.0,10.62,10.84,11.99,10.31,10.55,58129527.0,52.0,1.0,2.0,9.72,55189300.0,13:18:00,1.0,0,5,0.100225225225,12341087.5765,9.85,43255223.0,6.71,False,False
000717.XSHE_2017-08-29,1.03581267218,2017-08-29 00:00:00,2017-08-28 00:00:00,000717.XSHE,6.37,6.37,6.37,5.88,5.89,106933176.0,55.0,6.6,6.68,7.01,6.38,6.48,127727090.0,56.0,7.18,7.26,7.26,6.68,6.8,195045346.0,57.0,7.9,7.9,7.9,7.41,7.52,219507540.0,58.0,1.0,2.0,6.7,63456900.0,09:52:00,1.0,0,3,0.100172711572,23642804.6706,6.81,128469201.0,4.45,False,False
000717.XSHE_2017-08-30,1.04810126582,2017-08-30 00:00:00,2017-08-29 00:00:00,000717.XSHE,6.6,6.68,7.01,6.38,6.48,127727090.0,56.0,7.18,7.26,7.26,6.68,6.8,195045346.0,57.0,7.9,7.9,7.9,7.41,7.52,219507540.0,58.0,8.25,8.45,8.69,7.94,8.28,229496236.0,59.0,1.0,1.0,7.49,73621400.0,09:38:00,1.0,0,3,0.100278551532,23851826.2738,6.81,128469201.0,4.45,False,False
000717.XSHE_2017-09-01,1.04074889868,2017-09-01 00:00:00,2017-08-31 00:00:00,000717.XSHE,7.9,7.9,7.9,7.41,7.52,219507540.0,58.0,8.25,8.45,8.69,7.94,8.28,229496236.0,59.0,9.08,9.08,9.08,8.19,8.3,224075609.0,60.0,8.8,9.54,9.99,8.67,9.45,276777308.0,61.0,1.0,2.0,8.2,183866000.0,13:27:00,2.0,0,2,0.100606060606,24236015.7831,7.26,195045346.0,4.45,False,False
000796.XSHE_2017-09-05,0.952038369305,2017-09-05 00:00:00,2017-09-04 00:00:00,000796.XSHE,13.78,13.96,14.52,13.05,13.15,11357119.0,60.0,15.16,15.16,15.16,13.65,13.66,17925896.0,61.0,16.19,16.68,16.68,15.4,15.71,34965823.0,62.0,16.15,16.29,17.81,15.58,15.88,19726389.0,63.0,2.0,1.0,15.43,28363000.0,14:15:00,1.0,0,0,0.100145137881,3016477.75,14.57,10790441.0,10.71,False,False
000797.XSHE_2017-07-18,1.05096153846,2017-07-18 00:00:00,2017-07-17 00:00:00,000797.XSHE,9.46,9.92,9.92,9.31,9.77,16722983.0,25.0,9.45,9.75,10.41,9.04,9.62,18308447.0,26.0,10.4,10.4,10.4,9.45,9.51,38322299.0,27.0,11.44,11.44,11.44,10.9,10.93,34670307.0,28.0,1.0,1.0,9.45,17279200.0,13:17:00,0.0,0,4,0.100529100529,6373748.39286,10.63,51048748.0,8.23,False,False
000797.XSHE_2017-07-19,1.06643356643,2017-07-19 00:00:00,2017-07-18 00:00:00,000797.XSHE,9.45,9.75,10.41,9.04,9.62,18308447.0,26.0,10.4,10.4,10.4,9.45,9.51,38322299.0,27.0,11.44,11.44,11.44,10.9,10.93,34670307.0,28.0,11.4,12.4,12.58,11.22,12.2,80927494.0,29.0,2.0,1.0,10.99,17183700.0,09:31:00,0.0,0,1,0.100529100529,6343959.80723,10.63,51048748.0,8.23,False,False
000801.XSHE_2017-06-20,0.995793901157,2017-06-20 00:00:00,2017-06-19 00:00:00,000801.XSHE,7.85,7.91,8.59,7.75,7.85,4828317.0,5.0,8.64,8.64,8.64,7.85,7.85,10364944.0,6.0,9.5,9.51,9.51,9.18,9.18,59233605.0,7.0,9.92,10.33,10.45,9.39,9.47,88248452.0,8.0,2.0,1.0,9.22,7413577.0,09:30:00,0.0,0,4,0.100636942675,10387622.3882,12.9,34469078.0,7.08,False,False
000802.XSHE_2017-08-01,1.03581267218,2017-08-01 00:00:00,2017-07-31 00:00:00,000802.XSHE,15.0,15.07,15.54,14.42,14.42,14292951.0,35.0,16.5,16.5,16.5,16.5,16.5,3871157.0,36.0,18.15,18.15,18.15,17.37,18.13,57177677.0,37.0,19.11,19.68,19.97,18.4,18.8,62168199.0,38.0,2.0,1.0,18.0,10135500.0,09:30:00,0.0,0,2,0.1,3865444.41176,19.28,14973805.0,12.96,False,False
000807.XSHE_2017-08-02,0.944839857651,2017-08-02 00:00:00,2017-08-01 00:00:00,000807.XSHE,9.79,9.79,9.79,8.79,8.81,155729384.0,36.0,10.22,10.45,10.77,9.9,10.1,161679492.0,37.0,10.69,11.24,11.24,9.9,10.05,199900257.0,38.0,10.69,11.3,11.76,10.44,10.62,164683570.0,39.0,1.0,2.0,9.91,136561300.0,13:07:00,2.0,0,1,0.1,43927691.0238,9.59,159915555.0,6.17,False,False
000810.XSHE_2017-06-16,0.964391691395,2017-06-16 00:00:00,2017-06-15 00:00:00,000810.XSHE,11.14,11.19,12.21,11.03,11.13,2211088.0,3.0,12.25,12.25,12.25,11.06,11.1,8308035.0,4.0,12.88,13.48,13.48,12.6,13.48,25378237.0,5.0,13.47,13.6,14.17,12.28,13.0,27915660.0,6.0,2.0,1.0,13.48,731000.0,09:30:00,0.0,0,1,0.0996409335727,3612061.62651,15.49,28990923.0,10.39,False,False
000822.XSHE_2017-07-26,1.0303030303,2017-07-26 00:00:00,2017-07-25 00:00:00,000822.XSHE,9.65,9.96,9.96,9.3,9.3,125301180.0,31.0,9.6,9.6,10.62,9.13,9.6,89264384.0,32.0,10.56,10.56,10.56,9.42,9.48,143654600.0,33.0,10.79,11.38,11.62,10.5,10.88,169241014.0,34.0,1.0,1.0,9.42,96371000.0,13:42:00,0.0,0,1,0.1,24886953.619,9.29,90396212.0,6.31,False,False
000830.XSHE_2017-07-26,0.995614035088,2017-07-26 00:00:00,2017-07-25 00:00:00,000830.XSHE,8.0,8.1,8.1,7.5,7.5,142453175.0,31.0,8.29,8.46,8.8,7.91,8.0,139690555.0,32.0,9.04,9.12,9.12,8.08,8.2,160236630.0,33.0,8.9,9.6,9.94,8.69,9.08,187320649.0,34.0,1.0,1.0,8.09,148174500.0,14:50:00,0.0,0,0,0.0904704463209,31631397.6353,7.59,70331244.0,5.59,False,False
000912.XSHE_2017-06-15,1.06004618938,2017-06-15 00:00:00,2017-06-14 00:00:00,000912.XSHE,7.15,7.33,7.59,6.82,6.85,23754498.0,2.0,7.87,7.87,7.87,7.1,7.14,27164141.0,3.0,8.66,8.66,8.66,8.13,8.29,36232973.0,4.0,9.1,9.53,9.53,8.85,9.18,100411916.0,5.0,2.0,1.0,8.17,29811000.0,09:36:00,0.0,0,1,0.100699300699,36665063.4167,17.2,154568100.0,6.28,False,False
000912.XSHE_2017-06-16,0.954879328437,2017-06-16 00:00:00,2017-06-15 00:00:00,000912.XSHE,7.87,7.87,7.87,7.1,7.14,27164141.0,3.0,8.66,8.66,8.66,8.13,8.29,36232973.0,4.0,9.1,9.53,9.53,8.85,9.18,100411916.0,5.0,8.74,9.18,10.01,8.65,9.1,51450318.0,6.0,3.0,2.0,9.1,17277200.0,09:32:00,0.0,0,0,0.100699300699,37102088.6761,17.2,154568100.0,6.28,False,False
000912.XSHE_2017-06-20,0.989594172737,2017-06-20 00:00:00,2017-06-19 00:00:00,000912.XSHE,9.1,9.53,9.53,8.85,9.18,100411916.0,5.0,8.74,9.18,10.01,8.65,9.1,51450318.0,6.0,9.61,9.61,9.61,8.82,8.82,94659045.0,7.0,9.25,9.6,10.57,9.15,9.51,71764217.0,8.0,1.0,1.0,8.85,62388600.0,10:59:00,2.0,1,2,0.100699300699,37882281.2429,17.2,154568100.0,6.28,False,False
000916.XSHE_2017-07-04,1.04859335038,2017-07-04 00:00:00,2017-07-03 00:00:00,000916.XSHE,6.46,6.46,6.46,6.46,6.46,13074499.0,2.0,7.11,7.11,7.11,7.11,7.11,6433502.0,3.0,7.82,7.82,7.82,7.77,7.82,58209069.0,4.0,8.6,8.6,8.6,8.02,8.2,105470489.0,5.0,5.0,4.0,7.82,28245800.0,09:30:00,,0,1,0.101030927835,6991093.65854,5.87,29323803.0,3.83,False,False
000916.XSHE_2017-07-05,1.04651162791,2017-07-05 00:00:00,2017-07-04 00:00:00,000916.XSHE,7.11,7.11,7.11,7.11,7.11,6433502.0,3.0,7.82,7.82,7.82,7.77,7.82,58209069.0,4.0,8.6,8.6,8.6,8.02,8.2,105470489.0,5.0,9.46,9.46,9.46,8.75,9.0,60780343.0,6.0,6.0,5.0,8.02,89688900.0,10:36:00,,0,1,0.100619195046,6971243.85185,6.46,29323803.0,3.83,False,False
000916.XSHE_2017-07-06,1.05708245243,2017-07-06 00:00:00,2017-07-05 00:00:00,000916.XSHE,7.82,7.82,7.82,7.77,7.82,58209069.0,4.0,8.6,8.6,8.6,8.02,8.2,105470489.0,5.0,9.46,9.46,9.46,8.75,9.0,60780343.0,6.0,10.41,10.41,10.41,9.81,10.0,152261074.0,7.0,7.0,6.0,8.85,37011100.0,09:44:00,,0,2,0.100619195046,6983077.2125,7.11,29323803.0,3.83,False,False
000916.XSHE_2017-07-07,1.00864553314,2017-07-07 00:00:00,2017-07-06 00:00:00,000916.XSHE,8.6,8.6,8.6,8.02,8.2,105470489.0,5.0,9.46,9.46,9.46,8.75,9.0,60780343.0,6.0,10.41,10.41,10.41,9.81,10.0,152261074.0,7.0,10.56,10.66,11.45,9.96,10.5,119038409.0,8.0,8.0,7.0,10.0,25531200.0,09:31:00,,0,3,0.100619195046,6986219.34177,7.82,58209069.0,3.83,False,False
000922.XSHE_2017-08-18,1.00722891566,2017-08-18 00:00:00,2017-08-17 00:00:00,000922.XSHE,7.52,7.52,7.76,7.34,7.39,5279610.0,48.0,7.9,7.9,7.9,7.79,7.9,11076901.0,49.0,8.14,8.3,8.3,7.91,7.99,29468298.0,50.0,8.08,8.36,8.55,8.03,8.36,17458176.0,51.0,2.0,1.0,7.99,13894300.0,10:16:00,1.0,0,2,0.0505319148936,6931787.02469,9.88,22388702.0,6.33,True,False
000927.XSHE_2017-08-21,0.957095709571,2017-08-21 00:00:00,2017-08-18 00:00:00,000927.XSHE,5.01,5.05,5.48,4.87,4.98,23493813.0,49.0,5.51,5.51,5.51,4.92,4.93,58308592.0,50.0,5.97,6.06,6.06,5.43,5.62,91323387.0,51.0,5.68,5.85,6.57,5.6,5.8,59169268.0,52.0,2.0,1.0,5.44,63245000.0,13:24:00,1.0,0,0,0.0998003992016,14030270.1566,7.85,66983043.0,4.4,False,False
000932.XSHE_2017-07-14,0.987878787879,2017-07-14 00:00:00,2017-07-13 00:00:00,000932.XSHE,4.49,4.49,4.49,4.49,4.49,9556739.0,6.0,4.71,4.71,4.71,4.71,4.71,6572819.0,7.0,4.95,4.95,4.95,4.83,4.95,216949028.0,8.0,4.84,5.09,5.2,4.76,4.89,143938672.0,9.0,5.0,4.0,4.95,52320800.0,09:30:00,0.0,0,3,0.0509554140127,13355678.8272,5.67,50115414.0,3.83,True,False
000932.XSHE_2017-07-18,1.0,2017-07-18 00:00:00,2017-07-17 00:00:00,000932.XSHE,4.95,4.95,4.95,4.83,4.95,216949028.0,8.0,4.84,5.09,5.2,4.76,4.89,143938672.0,9.0,5.07,5.08,5.08,4.89,4.94,137234946.0,10.0,5.19,5.26,5.32,4.99,5.08,152364018.0,11.0,1.0,6.0,4.92,18168500.0,09:34:00,5.0,1,5,0.0509554140127,13224307.825,5.67,50115414.0,3.83,True,False
000932.XSHE_2017-07-20,0.939449541284,2017-07-20 00:00:00,2017-07-19 00:00:00,000932.XSHE,5.07,5.08,5.08,4.89,4.94,137234946.0,10.0,5.19,5.26,5.32,4.99,5.08,152364018.0,11.0,5.18,5.45,5.45,5.15,5.29,79381780.0,12.0,5.12,5.18,5.44,5.05,5.12,49164768.0,13.0,1.0,1.0,5.19,15217300.0,09:35:00,5.0,1,0,0.0509554140127,12710291.7342,5.67,216949028.0,3.83,True,False
000932.XSHE_2017-08-01,0.983333333333,2017-08-01 00:00:00,2017-07-31 00:00:00,000932.XSHE,5.44,5.49,5.61,5.28,5.29,43091484.0,18.0,5.71,5.71,5.71,5.5,5.5,76061862.0,19.0,5.84,6.0,6.0,5.79,5.92,71812819.0,20.0,6.13,6.13,6.13,5.9,5.9,77023602.0,21.0,2.0,1.0,5.94,12040800.0,09:30:00,5.0,1,0,0.0496323529412,16778250.2208,5.47,216949028.0,3.83,True,False
000932.XSHE_2017-08-02,1.01305057096,2017-08-02 00:00:00,2017-08-01 00:00:00,000932.XSHE,5.71,5.71,5.71,5.5,5.5,76061862.0,19.0,5.84,6.0,6.0,5.79,5.92,71812819.0,20.0,6.13,6.13,6.13,5.9,5.9,77023602.0,21.0,6.44,6.44,6.44,6.21,6.21,74998252.0,22.0,1.0,2.0,5.9,56711400.0,13:26:00,6.0,1,2,0.0496575342466,16795951.1447,5.49,216949028.0,3.83,True,False
000932.XSHE_2017-08-03,1.04968944099,2017-08-03 00:00:00,2017-08-02 00:00:00,000932.XSHE,5.84,6.0,6.0,5.79,5.92,71812819.0,20.0,6.13,6.13,6.13,5.9,5.9,77023602.0,21.0,6.44,6.44,6.44,6.21,6.21,74998252.0,22.0,6.63,6.76,6.76,6.63,6.76,27342800.0,23.0,2.0,1.0,6.23,27598900.0,09:40:00,6.0,1,5,0.0505709624796,16854344.56,5.71,216949028.0,3.83,True,False
000932.XSHE_2017-08-04,1.02958579882,2017-08-04 00:00:00,2017-08-03 00:00:00,000932.XSHE,6.13,6.13,6.13,5.9,5.9,77023602.0,21.0,6.44,6.44,6.44,6.21,6.21,74998252.0,22.0,6.63,6.76,6.76,6.63,6.76,27342800.0,23.0,6.96,6.96,6.96,6.63,6.96,124691242.0,24.0,3.0,2.0,6.76,3221300.0,09:30:00,6.0,1,1,0.0505709624796,16946660.4459,6.0,216949028.0,3.83,True,False
000932.XSHE_2017-08-07,1.02155172414,2017-08-07 00:00:00,2017-08-04 00:00:00,000932.XSHE,6.44,6.44,6.44,6.21,6.21,74998252.0,22.0,6.63,6.76,6.76,6.63,6.76,27342800.0,23.0,6.96,6.96,6.96,6.63,6.96,124691242.0,24.0,6.8,7.31,7.31,6.66,7.11,122673308.0,25.0,1.0,3.0,6.96,15837800.0,09:30:00,8.0,2,4,0.0505709624796,16964072.5753,6.13,216949028.0,3.83,True,False
000932.XSHE_2017-08-08,0.924760601915,2017-08-08 00:00:00,2017-08-07 00:00:00,000932.XSHE,6.63,6.76,6.76,6.63,6.76,27342800.0,23.0,6.96,6.96,6.96,6.63,6.96,124691242.0,24.0,6.8,7.31,7.31,6.66,7.11,122673308.0,25.0,6.96,7.1,7.14,6.46,6.76,104876750.0,26.0,2.0,1.0,7.01,36343300.0,10:04:00,8.0,2,0,0.0505709624796,16989130.6389,6.44,216949028.0,3.83,True,False
000932.XSHE_2017-08-22,0.941176470588,2017-08-22 00:00:00,2017-08-21 00:00:00,000932.XSHE,6.32,6.36,6.72,6.2,6.33,26564399.0,33.0,6.64,6.64,6.64,6.33,6.38,44351886.0,34.0,6.81,6.97,6.97,6.56,6.66,60888651.0,35.0,6.49,6.72,7.15,6.47,6.56,53118337.0,36.0,2.0,1.0,6.56,45043500.0,13:51:00,9.0,2,1,0.0506329113924,23266989.2714,7.31,216949028.0,3.83,True,False
